#This is the initiative data specification
#Every line below will represent a initiative data as follows:
#id - unique name for the initiative; no spaces in the id;max-len:15
#image - URL of the image to be loaded for the initative
#name - Name of the initiative; max-len: 25 
#link - link to be loaded on clicking the initiative
#Note: 
#No comma is allowed as the system uses the comma as separtor to get the data
#Length constraint is given to fit the data in the UI better
id=initiative1,type=initiative,image=images/initiative-1-thumbnail1.jpeg,name=Home for Senior Citizens,link=free_home_for_senior_citizens.html
id=initiative2,type=initiative,image=images/initiative-2-thumbnail2.jpeg,name=Educational Assistance,link=educational_assistance.html
id=initiative3,type=initiative,image=images/initiative-3-thumbnail3.jpeg,name=Free Medical Care Center,link=free_medical_care_center.html
id=initiative4,type=initiative,image=images/banner_tmp_5.png,name=Learning Center for Special Children,link=learning_center_for_special_children.html
id=scheme1,type=scheme,initiative_id=initiative1,image=images/adopt_grandma_grandpa.jpg,name=Adopt a Grandma / Grandpa,minimum_donation=10,currency=DOLLOR,description=To meet basic needs of one grandma/grandpa for a month
id=scheme2,type=scheme,initiative_id=initiative1,image=images/one_time_food_expenses.jpg,name=One Time Food Expenses,minimum_donation=20,currency=DOLLOR,description=Food expenses for one meal for the 105 elders
id=scheme3,type=scheme,initiative_id=initiative1,image=images/one_day_food_expenses.jpg,name=One Day Food Expenses,minimum_donation=100,currency=DOLLOR,description=Food expenses for one day for the 105 elders
id=scheme4,type=scheme,initiative_id=initiative1,image=images/corpus_fund.jpg,name=Corpus Fund,minimum_donation=-1,currency=DOLLOR,description=Proceeds from this one time donation will be used to sponsor food for all the elders of the home on one day of your choice every year.
id=scheme5,type=scheme,initiative_id=initiative2,image=images/uniform_diwali_dress.jpg,name=Uniform / Diwali Dress,minimum_donation=10,currency=DOLLOR,description=To provide two sets of uniform or one set of new diwali dress for one student per year.
id=scheme6,type=scheme,initiative_id=initiative2,image=images/nutritional_boost.jpeg,name=Nutritional Boost,minimum_donation=20,currency=DOLLOR,description=To provide refreshments for one day for all the students
id=scheme7,type=scheme,initiative_id=initiative2,image=images/school_educational_expenses.jpg,name=School Educational Expenses,minimum_donation=100,currency=DOLLOR,description=To support school educational expenses for one student per year
id=scheme8,type=scheme,initiative_id=initiative2,image=images/college_educational_expenses.jpeg,name=College Educational Expenses,minimum_donation=100,currency=DOLLOR,description=To support college educational expenses for one student per year
id=scheme9,type=scheme,initiative_id=initiative3,image=images/medical_care_half_day_expenses.jpg,name=Half Day Expenses,minimum_donation=10,currency=DOLLOR,description=Support expenses for the medical centre for half a day
id=scheme10,type=scheme,initiative_id=initiative3,image=images/medical_care_full_day_expenses.jpg,name=Full Day Expenses,minimum_donation=20,currency=DOLLOR,description=Support expenses for the medical centre for one day.
id=scheme11,type=scheme,initiative_id=initiative3,image=images/medical_care_outreach_camp.jpeg,name=Medical Outreach Camp,minimum_donation=100,currency=DOLLOR,description=Support expenses for one medical camp.
id=scheme12,type=scheme,initiative_id=initiative3,image=images/medical_care_corpus_fund.jpeg,name=Corpus Fund,minimum_donation=100,currency=DOLLOR,description=Proceeds from this one time donation will be used for meeting the expenses for one day (of your choice) in a year.
id=scheme13,type=scheme,initiative_id=initiative4,image=images/lrn_cntr_spl_child_uniform_diwali_dress.jpeg,name=Uniform / Diwali Dress,minimum_donation=10,currency=DOLLOR,description=Provide uniform/diwali dress for one student per year.
id=scheme14,type=scheme,initiative_id=initiative4,image=images/lrn_cntr_spl_child_monthly_expenses.jpeg,name=Monthly Expenses per Student,minimum_donation=20,currency=DOLLOR,description=Support the monthly expenses for one student.
id=scheme15,type=scheme,initiative_id=initiative4,image=images/lrn_cntr_spl_child_year_therapy_expenses.jpeg,name=Yearly Therapy Expenses per Student,minimum_donation=100,currency=DOLLOR,description=Support therapy expenses for one student per year.
id=scheme16,type=scheme,initiative_id=initiative4,image=images/lrn_cntr_spl_child_corpus_fund.jpeg,name=Corpus Fund,minimum_donation=100,currency=DOLLOR,description=Proceeds from this one time donation will be used for meeting the expenses for one day (of your choice) in a year.


